Kieskring,Arrondissement,Kanton,Gemeente
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Elsene#Ixelles,Elsene#Ixelles
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Elsene#Ixelles,Oudergem#Auderghem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Elsene#Ixelles,Watermaal-Bosvoorde#Watermael-Boitsfort
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Ganshoren
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Jette
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Koekelberg
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Gillis#Saint-Gilles,Sint-Gillis#Saint-Gilles
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Saint-Josse-ten-Noode#Sint-Joost-ten-Node
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Etterbeek
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Sint-Lambrechts-Woluwe#Woluwé-Saint-Lambert
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Sint-Pieters-Woluwe#Woluwé-Saint-Pierre
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Schaerbeek#Schaarbeek,Schaerbeek#Schaarbeek
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Schaerbeek#Schaarbeek,Evere
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Uccle#Ukkel,Uccle#Ukkel
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Uccle#Ukkel,Forest#Vorst
Antwerpen#Anvers,Antwerpen#Anvers,Berchem,Antwerpen#Anvers
Antwerpen#Anvers,Antwerpen#Anvers,Borgerhout,Antwerpen#Anvers
Antwerpen#Anvers,Antwerpen#Anvers,Ekeren,Antwerpen#Anvers
Antwerpen#Anvers,Antwerpen#Anvers,Ekeren,Kapellen
