Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
SP1,17/09/17,Sociedad,Real Madrid,1,3,A,1,2,A,10,18,5,6,12,15,4,6,3,2,0,0,5,4,1.67,4.75,4.2,1.67,5,4,1.65,4.6,4.2,1.67,4.99,4.36,1.69,4.8,4,1.67,4.6,4.33,1.67,37,5,4.72,4.44,4.18,1.71,1.67,28,1.5,1.45,2.8,2.7,15,0.75,2.06,2.03,1.87,1.85,5.06,4.79,1.63\r
SP1,18/09/17,Espanol,Celta,2,1,H,2,0,H,9,11,3,1,12,14,3,5,1,4,0,0,2.3,3.3,3.2,2.3,3.2,3.3,2.3,3.3,3.15,2.35,3.2,3.1,2.4,3.39,3.24,2.3,3.2,3.2,2.3,3.4,3.13,36,2.4,2.33,3.4,3.29,3.3,3.14,34,2.13,2.06,1.83,1.75,15,-0.25,2.05,2.01,1.91,1.86,2.62,3.38,2.92\r
SP1,19/09/17,Barcelona,Eibar,6,1,H,2,0,H,11,13,10,4,4,9,7,7,0,2,0,0,1.11,10,15,1.12,10,17.5,1.1,9,27,1.11,9.5,26,1.12,11.63,22.74,1.12,8,21,1.1,11,29,34,1.13,1.11,12.5,9.97,29,21.12,29,1.27,1.24,4.33,3.95,15,-2.5,1.91,1.88,2.04,2,1.14,10.39,20.98\r
SP1,19/09/17,Valencia,Malaga,5,0,H,1,0,H,16,11,11,2,9,10,4,9,0,1,0,0,1.5,4,7,1.53,4.2,6.5,1.6,4,5.5,1.53,4,6.5,1.56,4.38,6.67,1.53,4,6.5,1.53,4.3,6.5,34,1.6,1.54,4.4,4.15,7,6.27,35,1.87,1.81,2.07,2.01,16,-1,1.95,1.91,2,1.96,1.5,4.78,6.99\r
SP1,20/09/17,Ath Bilbao,Ath Madrid,1,2,A,0,0,D,12,16,7,9,12,12,6,0,0,2,0,0,3.4,3.2,2.25,3.4,3.25,2.25,3.15,3.3,2.3,3.4,3.1,2.25,3.55,3.23,2.33,3.3,3.2,2.25,3.5,3.25,2.3,36,3.56,3.39,3.3,3.19,2.33,2.26,32,2.5,2.39,1.62,1.57,15,0.25,1.95,1.92,1.99,1.95,3.87,3.37,2.15\r
SP1,20/09/17,La Coruna,Alaves,1,0,H,1,0,H,15,8,3,3,16,19,5,2,0,2,0,0,1.91,3.3,4.5,1.91,3.4,4.33,1.9,3.5,4.1,1.87,3.3,4.33,1.92,3.53,4.64,1.91,3.3,4.2,1.9,3.5,4.6,35,1.95,1.89,3.56,3.43,4.64,4.32,33,2.3,2.2,1.72,1.67,14,-0.5,1.92,1.89,2.03,2,1.75,3.89,5.2\r
SP1,20/09/17,Leganes,Girona,0,0,D,0,0,D,12,10,1,0,19,20,6,3,2,3,0,0,2.15,3.2,3.7,2.2,3.25,3.5,2.2,3.25,3.4,2.1,3.1,3.75,2.18,3.21,3.99,2.25,3.2,3.3,2.15,3.25,3.9,36,2.25,2.17,3.28,3.16,3.99,3.68,32,2.64,2.5,1.57,1.52,16,-0.25,1.89,1.84,2.09,2.04,2.06,3.3,4.32\r
SP1,20/09/17,Real Madrid,Betis,0,1,A,0,0,D,27,12,7,4,13,11,12,3,0,3,0,0,1.13,10,17,1.11,10.5,18,1.1,9,27,1.1,10,26,1.11,13,20,1.12,9,17,1.1,12,29,36,1.13,1.11,13,10.31,29,20.33,27,1.2,1.18,5.3,4.72,14,-2.75,1.99,1.95,1.97,1.93,1.09,14,31\r
SP1,20/09/17,Sevilla,Las Palmas,1,0,H,0,0,D,14,6,9,0,21,8,12,0,2,2,0,0,1.4,4.75,7.5,1.42,4.75,7.5,1.45,4.4,7.2,1.4,4.75,7.5,1.42,5.06,8.51,1.44,4.5,7,1.44,5,7.5,35,1.45,1.42,5.06,4.81,8.51,7.3,31,1.55,1.5,2.64,2.55,15,-1.25,1.94,1.89,2.03,1.98,1.43,5,8.4\r
SP1,21/09/17,Celta,Getafe,1,1,D,1,0,H,8,10,4,3,9,21,3,2,2,4,0,0,1.8,3.6,4.5,1.78,3.75,4.5,1.75,3.6,4.8,1.75,3.6,4.6,1.76,3.85,5.03,1.75,3.75,4.5,1.75,3.8,4.6,34,1.85,1.78,3.85,3.68,5.03,4.55,33,1.96,1.86,2,1.94,13,-0.5,1.81,1.77,2.17,2.13,1.9,3.56,4.69\r
SP1,21/09/17,Levante,Sociedad,3,0,H,1,0,H,13,13,9,3,13,11,3,6,2,0,0,1,3.25,3.25,2.3,3.1,3.25,2.4,2.95,3.3,2.4,3,3.3,2.35,3.11,3.54,2.4,2.9,3.3,2.4,2.9,3.5,2.38,35,3.25,3,3.54,3.35,2.4,2.36,34,1.96,1.87,2.01,1.93,14,0.25,1.88,1.84,2.09,2.03,2.85,3.5,2.61\r
SP1,21/09/17,Villarreal,Espanol,0,0,D,0,0,D,14,10,5,3,17,10,5,5,5,2,0,0,1.73,3.5,5.5,1.75,3.6,5,1.7,3.7,5,1.75,3.5,4.8,1.76,3.84,5.23,1.73,3.5,5,1.73,3.75,4.8,35,1.79,1.74,3.84,3.61,5.5,4.92,34,2.1,2.02,1.85,1.79,14,-0.75,2.02,1.97,1.93,1.9,1.7,3.81,5.84\r

